Tên Sản Phẩm,Giá,Thương Hiệu,Loại,Mã Sản Phẩm,Năm Đăng Ký,Dung Tích,Màu Sắc,Tình Trạng,Smartkey,Thông Tin Sản Phẩm
Lead 29B-685DK,10.000.000₫,Honda,Lead,29B-685DK,2010,110cc,Trắng đen,Còn hàng,,"Honda Lead, màu trắng đen, dung tích 110cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Lead 88L-679HK,31.300.000₫,Honda,Lead,88L-679HK,2021,125cc,Đen,Còn hàng,,"Honda Lead, khóa smartkey, màu đen, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Lead 29K-034DF,14.500.000₫,Honda,Lead,29K-034DF,2011,110cc,Trắng đen,Còn hàng,,"Honda Lead, màu trắng đen, dung tích 110cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
SH CBS 29D-149BG,62.500.000₫,Honda,SH,29D-149BG,2017,125cc,Trắng đen,Còn hàng,,"Honda SH CBS, màu trắng đen, dung tích 125cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Vision 29H-444KG,33.500.000₫,Honda,Vision,29H-444KG,2023,110cc,Đen,Còn hàng,,"Honda Vision, màu đen, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Lead 29D-404DH,14.300.000₫,Honda,Lead,29D-404DH,2013,110cc,Vàng đen,Còn hàng,,"Honda Lead, màu trắng vàng đen, dung tích 110cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
SH 29K-515CA,53.000.000₫,Honda,SH,SH 29K-515CA,2016,125cc,Đen,Còn hàng,,"Honda SH, màu đen, dung tích 125cc, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Vision 21B-673GK,23.300.000₫,Honda,Vision,21B-673GK,2020 (đời 2017),110cc,Trắng đen,Còn hàng,,"Honda Vision, màu trắng, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Airblade 48E-190HK,23.800.000₫,Honda,Airblade,48E-190HK,2016,125cc,Xám đen,Còn hàng,,"Honda Airblade, màu xám bạc, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Lead 29D-511CE,21.000.000₫,Honda,Lead,29D-511CE,2013,125cc,Trắng,Còn hàng,,"Honda Lead, màu trắng, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Airblade 24N-51CH,9.500.000₫,Honda,Airblade,24N-51CH,2008,110cc,Đen,Còn hàng,,"Honda Airblade, form nhỏ, màu đen, dung tích 110cc. Hàng hiếm đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Wave RSX 88C-004EB,10.000.000₫,Honda,Wave A,88C-004EB,2011,110cc,Trắng đen,Còn hàng,,"Honda Wave RSX, màu trắng đen, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
SH ABS 17B-544CJ,75.000.000₫,Honda,SH,17B-544CJ,2020,150cc,Đỏ đen,Còn hàng,,"Honda SH ABS, màu đỏ đen, dung tích 150cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Wave A 21E-273GA,15.500.000₫,Honda,Wave A,21E-273GA,2016,100cc,Xanh đen,Còn hàng,,"Honda Wave A, màu xanh đen, dung tích 100cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
Lead 36B-201CK,11.500.000₫,Honda,Lead,36B-201CK,2011,110cc,Vàng đen,Còn hàng,,"Honda Lead, màu vàng đen, dung tích 110cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Airblade 18B-036KC,34.000.000₫,Honda,Airblade,18B-036KC,2023,125cc,Đen vàng,Còn hàng,,"Honda Airblade, khóa smartkey, màu đen vàng, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
SH ABS 29E-011ED,99.000.000₫,Honda,SH,29E-011ED,2023,160cc,Đỏ đen,Còn hàng,,"Honda SH ABS, màu đỏ đen, dung tích 160cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Lead 29H-741HF,25.500.000₫,Honda,Lead,29H-741HF,2016,125cc,Vàng nâu,Còn hàng,,"Honda Lead, màu vàng nâu, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Airblade 15B-335DC,13.000.000₫,Honda,Airblade,15B-335DC,2013 (đời 2011),110cc,Xám đen,Còn hàng,,"Honda Airblade, màu xám đen, dung tích 110cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Wave A 21C1-251FD,13.000.000₫,Honda,Wave A,21C1-251FD,2019,110cc,Xanh bạc đen,Còn hàng,,"Honda Wave A, màu xanh đen bạc, dung tích 110cc. Xe có thiết kế nhỏ gọn, chắc chắn, đi đầm, máy êm, chạy bốc, di chuyển ổn định ở tốc độ cao. Ngoài ra xe còn được yêu thích bởi tính bền bỉ, tiết kiệm nhiên liệu và rất ít khi hỏng vặt. Xe tỏ ra có ưu điểm vượt trội khi đi trong các ngõ nhỏ, phố nhỏ, đường đô thị chật hẹp, nhiều lối rẽ."
SH Mode 29K-988KD,53.800.000₫,Honda,SH Mode,29K-988KD,2021,125cc,Đen,Còn hàng,,"Honda SH Mode, màu đen, dung tích 125cc. Xe đẹp xuất sắc, không một lỗi nhỏ. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả."
Airblade 59T-155DH,13.800.000₫,Honda,Airblade,59T-155DH,2011,110cc,Trắng đen,Còn hàng,,"Honda Airblade, màu trắng đen, dung tích 110cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Vision 29V-365CF,24.300.000₫,Honda,Vision,29V-365CF,2017,110cc,Xanh nâu,Còn hàng,,"Honda Vision, màu xanh đen, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Airblade 99H-255JA,27.900.000₫,Honda,Airblade,99H-255JA,2018,125cc,Đen đỏ,Còn hàng,,"Honda Airblade, màu đen đỏ, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Airblade Fi 34DF-167CA,13.500.000₫,Honda,Airbade,,,,,Hết hàng,,"Honda Airblade Fi, form nhỏ, màu đen, dung tích 110cc. Hàng hiếm đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Future X Fi 29H-141CH,20.000.000₫,Honda,Future,,,,,Hết hàng,,"Honda Future X Fi, màu đen xám, dung tích 125cc. Xe đẹp long lanh, không một lỗi nhỏ. Future 125 FI mới vẫn sử dụng động cơ 4 kỳ, cam đơn SOHC, dung tích 125 phân khối và có phun xăng điện tử giúp tiết kiệm nhiên lFUiệu. Bản FI cho công suất tối đa 9,47 HP @ 7.500 RPM cùng momen xoắn cực đại 10,6 Nm @ 5.500 RPM. Ngoài ra xe còn được trang bị hộc đựng đồ U-Box đủ chứa một nón bảo hiểm nguyên đầu và hệ thống kiểm soát hơi xăng EVAPO thân thiện với môi trường, giúp giảm thiểu tối đa sự phát tán hơi xăng ra không khí."
SH ABS 29V-608KA,81.500.000₫,Honda,SH,29V-608KA,2021,150cc,Đen,Còn hàng,,"Honda SH ABS, màu đen, dung tích 150cc, xe có khóa smartkey thông minh, an toàn, hiện đại, xe đẹp xuất sắc, đi cực ít. SH là dòng xe tay ga cao cấp của hãng xe máy nổi tiếng Honda. Với động cơ cực khóe, tiết kiệm nhiên liệu, thêm vào đó là thiết kế tạo cho người lái dáng ngồi sang trong SH đã nhanh chóng giành được sự “ưu ái” của những khách hàng có kinh tế ổn định, khá giả. "
Airblade 29Y-613FF,36.800.000₫,Honda,Airblade,29Y-613FF,2020,125cc,Đen,Còn hàng,,"Honda Airblade, màu đen, dung tích 125cc, xe đẹp đi rất ít. Hàng hiếm xe đẹp xuất sắc so với các xe cùng đời. Airblade là kiểu xe tay ga hiện đại rất được ưa chuộng, mạnh mẽ rất an toàn cho người sử dụng. Air Blade được đánh giá là một bước đột phá trong thiết kế hiện đại của dòng xe tay ga với các ưu điểm nổi trội về công nghệ tiên tiến. Xăng chạy 2,2L/100km."
Lead 29D-231BA,13.300.000₫,Honda,Lead,29D-231BA,2011,110cc,Bạc đen,Còn hàng,,"Honda Lead, màu bạc đen, dung tích 125cc. Lead là một trong những dòng xe đa dụng, phù hợp với thị hiếu của nhiều người tiêu dùng. Xe được thiết kế đặc biệt tiện dụng dành cho các bạn nữ. Với cốp rộng để nhiều vật dụng tiện lợi. Xe đi bốc, chạy khoẻ, máy êm, tiết kiệm nhiên liệu. Xăng chạy khoảng 1.8L/100Km."
Vision 29X-731JG,37.500.000₫,Honda,Vision,29X-731JG,2022,110cc,Xanh đen,Còn hàng,,"Honda Vision, khóa smartkey, màu xanh đen đỏ, dung tích 110cc, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
Winner 29D-025BH,15.000.000₫,Honda,Winner,29D-025BH,2017,150cc,Đen đỏ,Còn hàng,,"Honda Winner, dung tích 150cc, màu đen đỏ. Xe đẹp xuất sắc, xe đẹp xuất sắc, không một lỗi nhỏ. Xe được Honda trang bị động cơ PGM-FI, 4 kỳ, DOHC, xi-lanh đơn, dung tích 149,1cc, làm mát bằng dung dịch kết hợp hộp số 6 cấp, giúp sản sinh công suất tối đa 15,4 mã lực tại 9.000 vòng/phút, mô-men xoắn cực đại 13.5 Nm tại 6.500 vòng/phút."
Vario 29Z-810GE,44.000.000₫,Honda,Vario,29Z-810GE,2023,125cc,Xanh đen,Còn hàng,,"Honda Vario, khóa smartkey, màu xanh đen, dung tích 125c, xe đẹp lung linh, không một lỗi nhỏ. Đây là dòng xe ga có thiết kế nhỏ nhắn, nhẹ nhàng. Kiểu dáng trẻ trung, thanh lịch. Xe phù hợp với các bạn nữ có vóc dáng mi nhon, chiều cao vừa phải. Ưu điểm nổi bật của dòng xe này là máy khoẻ, chạy êm, di chuyển ổn định ở tốc độ cao."
